start spin
op	r	i	s	a	b	c
16	63	12	0	63	0	0
16	63	248	0	63	0	15
16	30	0	0	30	0	0
16	31	1	0	31	0	0
16	32	282	0	32	0	17
16	33	19	0	33	0	1
16	34	128	0	34	0	8
4	33	33248	0	33	32	30
4	34	33264	0	34	32	31
26	30	30720	0	30	30	0
16	63	284	0	63	0	17
16	32	512	0	32	0	32
16	33	514	0	33	0	32
16	34	135	0	34	0	8
16	35	224	0	35	0	14
16	36	19	0	36	0	1
16	37	128	0	37	0	8
4	34	33248	0	34	32	30
4	35	33264	0	35	32	31
4	36	34272	0	36	33	30
4	37	34288	0	37	33	31
16	30	0	0	30	0	0
16	31	1	0	31	0	0
16	32	32768	0	32	32	0
8	32	33280	0	32	32	32
8	32	33280	0	32	32	32
8	32	33280	0	32	32	32
8	32	33280	0	32	32	32
26	32	31744	0	32	31	0
8	63	33248	0	63	32	30
16	61	1	19	61	0	0
16	30	0	0	30	0	0
16	31	1	0	31	0	0
16	32	2	0	32	0	0
16	33	32800	0	33	32	2
8	33	34320	0	33	33	33
8	33	34320	0	33	33	33
8	33	34320	0	33	33	33
8	33	34320	0	33	33	33
16	34	512	0	34	0	32
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
26	33	32768	0	33	32	0
8	32	33264	0	32	32	31
8	33	34336	0	33	33	34
16	57	91	0	57	0	5
25	57	0	0	57	0	0
16	57	43	0	57	0	2
25	57	0	0	57	0	0
16	57	93	0	57	0	5
25	57	0	0	57	0	0
16	57	1	5	57	0	0
25	57	0	0	57	0	0
16	57	19	2	57	0	1
25	57	0	0	57	0	0
16	57	111	0	57	0	6
25	57	0	0	57	0	0
16	57	97	0	57	0	6
25	57	0	0	57	0	0
16	57	25	2	57	0	1
25	57	0	0	57	0	0
16	57	101	0	57	0	6
25	57	0	0	57	0	0
16	57	25	2	57	0	1
25	57	0	0	57	0	0
16	57	1	5	57	0	0
25	57	0	0	57	0	0
16	57	67	0	57	0	4
25	57	0	0	57	0	0
16	57	79	0	57	0	4
25	57	0	0	57	0	0
16	57	41	1	57	0	2
25	57	0	0	57	0	0
16	57	69	0	57	0	4
25	57	0	0	57	0	0
16	57	23	1	57	0	1
25	57	0	0	57	0	0
16	57	73	0	57	0	4
25	57	0	0	57	0	0
16	57	77	0	57	0	4
25	57	0	0	57	0	0
